23,3,tensor(15),{15: 0.013095},117000,tensor([ 0.0080, -0.0651,  0.0668,  ...,  0.0328, -0.0616,  0.0160])
33,3,tensor(15),{15: 0.109979},117000,tensor([ 0.0088, -0.0654,  0.0697,  ...,  0.0301, -0.0609,  0.0150])
43,3,tensor(15),{15: 0.229167},117000,tensor([ 0.0101, -0.0661,  0.0719,  ...,  0.0286, -0.0605,  0.0149])
53,8,tensor(30),{15: 0.229167, 30: 0.8913879990577698},117000,tensor([-0.0407, -0.0558,  0.0721,  ...,  0.0587, -0.0547,  0.0190])
103,16,tensor(4),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0},117000,tensor([-0.0142, -0.0512,  0.0590,  ...,  0.0660, -0.0670,  0.0177])
113,16,tensor(4),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0},117000,tensor([-0.0142, -0.0512,  0.0590,  ...,  0.0660, -0.0670,  0.0177])
123,16,tensor(4),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0},117000,tensor([-0.0142, -0.0512,  0.0590,  ...,  0.0660, -0.0670,  0.0177])
133,16,tensor(4),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0},117000,tensor([-0.0142, -0.0512,  0.0590,  ...,  0.0660, -0.0670,  0.0177])
143,16,tensor(4),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0},117000,tensor([-0.0142, -0.0512,  0.0590,  ...,  0.0660, -0.0670,  0.0177])
153,12,tensor(6),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.20025399327278137},117000,tensor([-0.0211, -0.0077,  0.0645,  ..., -0.0112, -0.0221, -0.0120])
163,12,tensor(6),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254},117000,tensor([-0.0211, -0.0077,  0.0645,  ..., -0.0112, -0.0221, -0.0120])
203,30,tensor(8),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 0.9868419766426086},117000,tensor([ 0.0683, -0.0487,  0.0502,  ..., -0.0354, -0.0491,  0.0639])
233,30,tensor(8),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 0.986842},117000,tensor([ 0.0683, -0.0487,  0.0502,  ..., -0.0354, -0.0491,  0.0639])
243,22,tensor(8),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0},117000,tensor([ 0.0683, -0.0487,  0.0497,  ..., -0.0354, -0.0483,  0.0651])
253,31,tensor(26),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 1.0},117000,tensor([-0.0044, -0.0651,  0.0767,  ...,  0.0622, -0.0679,  0.0072])
263,3,tensor(26),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 1.0},117000,tensor([-0.0055, -0.0640,  0.0763,  ...,  0.0640, -0.0679,  0.0042])
273,3,tensor(26),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 1.0},117000,tensor([-0.0057, -0.0639,  0.0762,  ...,  0.0650, -0.0679,  0.0022])
293,3,tensor(26),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842},117000,tensor([-0.0068, -0.0633,  0.0764,  ...,  0.0694, -0.0679,  0.0013])
303,5,tensor(23),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 0.9868419766426086},117000,tensor([ 0.0137, -0.0754,  0.0833,  ...,  0.0502, -0.0607,  0.0003])
313,31,tensor(23),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0},117000,tensor([ 4.8252e-03, -6.7867e-02,  7.6863e-02,  ...,  4.2054e-02,
        -6.0738e-02,  4.3455e-05])
323,31,tensor(23),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0},117000,tensor([ 4.8252e-03, -6.7867e-02,  7.6863e-02,  ...,  4.2054e-02,
        -6.0738e-02,  4.3455e-05])
333,31,tensor(23),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0},117000,tensor([ 4.8252e-03, -6.7867e-02,  7.6863e-02,  ...,  4.2054e-02,
        -6.0738e-02,  4.3455e-05])
353,11,tensor(21),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
373,11,tensor(21),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
393,11,tensor(21),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
403,8,tensor(14),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0},117000,tensor([-0.0490, -0.0649,  0.0829,  ...,  0.0493, -0.0816,  0.0190])
413,8,tensor(14),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0},117000,tensor([-0.0490, -0.0649,  0.0829,  ...,  0.0493, -0.0816,  0.0190])
443,8,tensor(14),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0},117000,tensor([-0.0490, -0.0649,  0.0829,  ...,  0.0493, -0.0816,  0.0190])
453,12,tensor(2),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0},117000,tensor([ 0.0020, -0.0270,  0.0187,  ..., -0.0182, -0.0244, -0.0003])
463,10,tensor(2),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0},117000,tensor([ 0.0020, -0.0262,  0.0185,  ..., -0.0205, -0.0237, -0.0003])
473,2,tensor(2),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0},117000,tensor([ 0.0003, -0.0243,  0.0169,  ..., -0.0195, -0.0237, -0.0003])
503,10,tensor(0),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0},117000,tensor([-0.0142, -0.0193,  0.0446,  ...,  0.0006, -0.0130, -0.0108])
543,10,tensor(0),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0},117000,tensor([-0.0142, -0.0193,  0.0446,  ...,  0.0006, -0.0130, -0.0108])
553,27,tensor(19),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0},117000,tensor([-0.0279, -0.0367,  0.0484,  ...,  0.0548, -0.0518,  0.0146])
573,19,tensor(19),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0},117000,tensor([-0.0274, -0.0362,  0.0490,  ...,  0.0501, -0.0518,  0.0146])
603,7,tensor(25),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183},117000,tensor([ 0.0170, -0.0865,  0.0906,  ...,  0.0259, -0.0635,  0.0062])
688,2,tensor(20),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
709,2,tensor(20),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 0.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
729,2,tensor(20),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 0.074622},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
749,2,tensor(20),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 0.936184},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
769,2,tensor(20),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 0.959064, 27: 0.0},117000,tensor([-0.0342,  0.0004,  0.0216,  ..., -0.0218, -0.0173, -0.0081])
789,3,tensor(29),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.232592},117000,tensor([-0.0197, -0.0391,  0.0508,  ...,  0.0322, -0.0683,  0.0190])
809,3,tensor(29),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.95, 9: 0.010875},117000,tensor([-0.0197, -0.0391,  0.0508,  ...,  0.0322, -0.0683,  0.0190])
829,3,tensor(29),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.95, 9: 0.936184},117000,tensor([-0.0197, -0.0391,  0.0508,  ...,  0.0322, -0.0683,  0.0190])
849,3,tensor(29),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.95, 9: 1.0},117000,tensor([-0.0197, -0.0391,  0.0508,  ...,  0.0322, -0.0683,  0.0190])
869,3,tensor(29),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.95, 9: 1.0, 10: 0.005682},117000,tensor([-0.0197, -0.0391,  0.0508,  ...,  0.0322, -0.0683,  0.0190])
889,1,tensor(27),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.9868419766426086, 9: 1.0, 10: 0.960526},117000,tensor([-0.0011, -0.0818,  0.0894,  ...,  0.0394, -0.0575,  0.0190])
909,1,tensor(27),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.986842, 9: 1.0, 10: 0.986111, 3: 0.053361},117000,tensor([-0.0011, -0.0818,  0.0894,  ...,  0.0394, -0.0575,  0.0190])
929,1,tensor(27),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.986842, 9: 1.0, 10: 0.986111, 3: 0.932749},117000,tensor([-0.0011, -0.0818,  0.0894,  ...,  0.0394, -0.0575,  0.0190])
950,1,tensor(27),{15: 0.229167, 30: 0.8913879990577698, 4: 1.0, 6: 0.200254, 8: 1.0, 26: 0.986842, 23: 1.0, 21: 1.0, 14: 1.0, 2: 1.0, 0: 1.0, 19: 1.0, 25: 0.15185199677944183, 20: 1.0, 29: 1.0, 27: 0.986842, 9: 1.0, 10: 0.986111, 3: 1.0},117000,tensor([-0.0011, -0.0818,  0.0894,  ...,  0.0394, -0.0575,  0.0190])
