0.0,0.0,31.0,1667421432.576075
1.0,50.0,22.0,1667421822.9713345
2.0,100.0,11.0,1667422099.785189
3.0,150.0,28.0,1667422385.3394253
4.0,200.0,10.0,1667422781.2828999
5.0,250.0,29.0,1667423132.4156277
6.0,300.0,14.0,1667423515.4112027
7.0,350.0,24.0,1667423905.7818503
8.0,400.0,3.0,1667424229.7265072
9.0,450.0,9.0,1667424563.6217554
10.0,500.0,30.0,1667424904.5883155
11.0,550.0,7.0,1667425254.7350779
12.0,600.0,2.0,1667425611.2922049
13.0,650.0,12.0,1667425977.786708
14.0,700.0,23.0,1667426351.4123886
15.0,750.0,1.0,1667426732.049533
16.0,800.0,20.0,1667427120.7091093
17.0,850.0,19.0,1667427517.0985103
18.0,900.0,18.0,1667427923.1237833
19.0,950.0,27.0,1667428336.739551
20.0,1000.0,0.0,1667428758.1129973
21.0,1050.0,13.0,1667429187.0864553
22.0,1100.0,5.0,1667429625.117406
23.0,1150.0,17.0,1667430070.3086994
24.0,1200.0,6.0,1667430524.209733
25.0,1250.0,8.0,1667430986.5809772
26.0,1300.0,4.0,1667431457.7757995
27.0,1350.0,15.0,1667431945.5290678
28.0,1400.0,21.0,1667432452.8497963
29.0,1450.0,26.0,1667432968.2405603
30.0,1500.0,16.0,1667433491.5321598
31.0,1550.0,25.0,1667434023.826216
