id, iteration, task_id, time
0.0,0.0,0.0,1674582517.2414403
1.0,100.0,1.0,1674582598.4485922
2.0,200.0,2.0,1674582683.0675938
3.0,300.0,3.0,1674582776.8140185
4.0,400.0,4.0,1674582866.5127351
5.0,500.0,5.0,1674582953.5730278
6.0,600.0,6.0,1674583043.6292555
7.0,700.0,7.0,1674583133.624561
8.0,800.0,8.0,1674583218.5139635
9.0,900.0,9.0,1674583312.6222012
10.0,1000.0,10.0,1674583403.167273
11.0,1100.0,11.0,1674583490.323144
12.0,1200.0,12.0,1674583578.5224223
13.0,1300.0,13.0,1674583669.0684884
14.0,1400.0,14.0,1674583756.3419368
15.0,1500.0,15.0,1674583845.5299222
0.0,0.0,15.0,1674582519.1665254
1.0,100.0,0.0,1674582602.6702087
2.0,200.0,1.0,1674582689.521285
3.0,300.0,2.0,1674582783.9616466
4.0,400.0,3.0,1674582879.6868954
5.0,500.0,4.0,1674582966.2214286
6.0,600.0,5.0,1674583059.1282387
7.0,700.0,6.0,1674583147.5496247
8.0,800.0,7.0,1674583233.9956295
9.0,900.0,8.0,1674583326.453933
10.0,1000.0,9.0,1674583416.473444
11.0,1100.0,10.0,1674583505.9349222
12.0,1200.0,11.0,1674583595.5398607
13.0,1300.0,12.0,1674583686.484547
14.0,1400.0,13.0,1674583774.1770093
15.0,1500.0,14.0,1674583863.772943
0.0,0.0,14.0,1674582519.326898
1.0,100.0,15.0,1674582601.4017365
2.0,200.0,0.0,1674582685.4967687
3.0,300.0,1.0,1674582777.080426
4.0,400.0,2.0,1674582867.5677848
5.0,500.0,3.0,1674582954.2140017
6.0,600.0,4.0,1674583042.9473872
7.0,700.0,5.0,1674583135.3106775
8.0,800.0,6.0,1674583219.0079193
9.0,900.0,7.0,1674583312.2213814
10.0,1000.0,8.0,1674583403.0165124
11.0,1100.0,9.0,1674583489.728553
12.0,1200.0,10.0,1674583577.551168
13.0,1300.0,11.0,1674583667.6277144
14.0,1400.0,12.0,1674583755.2381282
15.0,1500.0,13.0,1674583844.4431014
