Wall Time,Step,Value
1721846281.4677396,0,0.0
1721846283.583119,1,0.0
1721846285.7019842,2,0.0
1721846287.7073655,3,0.0
1721846289.7989578,4,0.0
1721846291.8826752,5,0.0
1721846293.9919584,6,0.0
1721846296.0972636,7,0.0
1721846298.3175654,8,0.0
1721846300.665813,9,0.0
1721846304.3535714,10,0.0
1721846308.0529602,11,0.0
1721846311.827407,12,0.0
1721846315.6550064,13,0.0
1721846319.3513985,14,0.0
1721846323.0014653,15,0.0
1721846326.636537,16,0.0
1721846330.2683153,17,0.0
1721846334.1959767,18,0.0
1721846338.0942616,19,0.0
1721846341.9547768,20,0.0
1721846345.5787966,21,0.0
1721846349.1585324,22,0.0
1721846352.743537,23,0.0
1721846356.3332503,24,0.0
1721846359.9311724,25,0.0
1721846363.511105,26,0.0
1721846367.3622262,27,0.0
1721846371.0726695,28,0.0
1721846375.2960937,29,0.0
1721846379.2047894,30,0.0
1721846382.8509514,31,0.0
1721846386.4873052,32,0.0
1721846390.1336584,33,0.0
1721846393.788007,34,0.0
1721846397.4347541,35,0.0
1721846401.0792115,36,0.0
1721846404.7102942,37,0.0
1721846408.4352682,38,0.0
1721846412.3392246,39,0.0
1721846416.1005025,40,0.0
1721846419.710641,41,0.0
1721846423.4339962,42,0.0
1721846427.014097,43,0.0
1721846430.6724129,44,0.0
1721846434.2618272,45,0.0
1721846437.9518054,46,0.0
1721846441.6117098,47,0.0
1721846445.302257,48,0.0
1721846449.1953144,49,0.0
1721846452.9305716,50,0.0
1721846456.5693502,51,0.0
1721846460.1475973,52,0.0
1721846463.776519,53,0.0
1721846467.3872626,54,0.0
1721846470.9930143,55,0.0
1721846474.6031866,56,0.0
1721846478.3856354,57,0.0
1721846482.1906521,58,0.0
1721846486.0723217,59,0.0
1721846489.854203,60,0.0
1721846493.4672658,61,0.0
1721846497.077187,62,0.0
1721846500.794236,63,0.0
1721846504.4127617,64,0.0
1721846508.0173266,65,0.0
1721846511.6802049,66,0.0
1721846515.4510112,67,0.0
1721846519.3460639,68,0.0
1721846523.270817,69,0.0
1721846527.0655265,70,0.0
1721846530.8374205,71,0.0
1721846534.4312124,72,0.0
1721846538.0192335,73,0.0
1721846541.6033795,74,0.0
1721846545.2300904,75,0.0
1721846548.8707752,76,0.0
1721846552.6678739,77,0.0
1721846556.4781826,78,0.0
1721846560.462432,79,0.0
1721846564.2012131,80,0.0
1721846567.7962837,81,0.0
1721846571.3940883,82,0.0
1721846575.0372834,83,0.0
1721846578.6768103,84,0.0
1721846582.3122714,85,0.0
1721846586.1306398,86,0.0
1721846589.9535959,87,0.0
1721846593.7751045,88,0.0
1721846597.572765,89,0.0
1721846601.31548,90,0.0
1721846604.9396915,91,0.0
1721846608.5363495,92,0.0
1721846612.1629934,93,0.0
1721846615.7519825,94,0.0
1721846619.3625817,95,0.0
1721846623.0308192,96,0.0
1721846626.8034854,97,0.0
1721846630.7359517,98,0.0
1721846634.604786,99,0.0
1721846638.4044683,100,0.0
1721846642.1797442,101,0.0
1721846645.8703551,102,0.0
1721846649.547458,103,0.0
1721846653.2059157,104,0.0
1721846656.8924093,105,0.0
1721846660.5724936,106,0.0
1721846664.3175507,107,0.0
1721846668.2076864,108,0.0
1721846672.005946,109,0.0
1721846675.7720106,110,0.0
1721846679.408334,111,0.0
1721846683.0416,112,0.0
1721846686.6756513,113,0.0
1721846690.3625214,114,0.0
1721846693.9572988,115,0.0
1721846697.709285,116,0.0
1721846701.5269928,117,0.0
1721846705.312524,118,0.0
1721846709.0782566,119,0.0
1721846712.8927162,120,0.0
1721846716.5442636,121,0.0
1721846720.1689885,122,0.0
1721846723.7668953,123,0.0
1721846727.3942695,124,0.0
1721846731.0347354,125,0.0
1721846734.814443,126,0.0
1721846738.6668117,127,0.0
1721846742.4044547,128,0.0
1721846746.255481,129,0.0
1721846750.1207461,130,0.0
1721846753.747675,131,0.0
1721846757.3748775,132,0.0
1721846761.0958593,133,0.0
1721846764.8769996,134,0.0
1721846768.5569558,135,0.0
1721846772.378084,136,0.0
1721846776.151255,137,0.0
1721846779.8727043,138,0.0
1721846783.7635922,139,0.0
1721846787.5255597,140,0.0
1721846791.0629272,141,0.0
1721846794.7028956,142,0.0
1721846798.3199277,143,0.0
1721846802.1377187,144,0.0
1721846805.8456116,145,0.0
1721846809.6365383,146,0.0
1721846813.470942,147,0.0
1721846817.1690476,148,0.0
1721846820.9006526,149,0.0
1721846824.694841,150,0.0
1721846828.2814708,151,0.0
1721846831.9156325,152,0.0
1721846835.532749,153,0.0
1721846839.164897,154,0.0
1721846842.8690734,155,0.0
1721846846.7587771,156,0.0
1721846850.4723969,157,0.0
1721846854.0968242,158,0.0
1721846857.907501,159,0.0
1721846861.6306303,160,0.0
1721846865.2539005,161,0.0
1721846868.856002,162,0.0
1721846872.4677653,163,0.0
1721846876.124805,164,0.0
1721846879.8500292,165,0.0
1721846883.5865493,166,0.0
1721846887.2803674,167,0.0
1721846891.0530453,168,0.0
1721846894.8400478,169,0.0
1721846898.661497,170,0.0
1721846902.2928245,171,0.0
1721846905.8665078,172,0.0
1721846909.5617518,173,0.0
